control_id,current_status,gap_description,risk_level,remediation_priority,remediation_recommendation,evidence_available,owner,target_date
SR-001,Partially Implemented,Security management policies exist but have not been reviewed or updated in over 18 months. Risk analysis was last completed in 2023 and does not reflect current system architecture.,High,P1,Update security management policies and conduct a fresh risk analysis reflecting current ePHI systems and infrastructure. Establish annual review cadence.,Yes,CISO / Compliance,2026-09-01
SR-002,Not Implemented,No formal HIPAA-specific risk analysis has been conducted. General IT risk assessments exist but do not address ePHI confidentiality integrity and availability specifically.,Critical,P1,Conduct a HIPAA-specific risk analysis covering all systems that create receive maintain or transmit ePHI. Document threat/vulnerability pairs likelihood impact and current controls.,No,Compliance / Security,2026-08-01
SR-003,Partially Implemented,Some security controls are in place but no formal risk management plan exists that tracks identified risks to remediation with assigned owners and target dates.,High,P1,Develop a formal HIPAA risk management plan with a risk register tracking each identified risk to closure. Assign risk owners and establish quarterly review.,Yes,Compliance / Security,2026-09-01
SR-004,Implemented,Sanction policy is documented and included in the employee handbook. Policy has been acknowledged by all current staff.,Low,P3,Maintain annual re-acknowledgment process. Ensure sanction policy is updated to reflect remote work scenarios.,Yes,HR / Compliance,2026-12-01
SR-005,Partially Implemented,Audit logs are enabled on primary ePHI systems but are not reviewed on a regular schedule. No formal log review procedure exists.,High,P1,Implement a formal log review procedure with defined frequency (weekly for critical systems). Assign responsibility and document review outcomes.,Yes,Security / IT,2026-08-15
SR-006,Implemented,A designated Security Officer has been appointed with documented responsibilities. Contact information is included in the Notice of Privacy Practices.,Low,P3,Confirm Security Officer role is current and responsibilities are documented. Review annually.,Yes,Executive / CISO,2026-12-01
SR-007,Partially Implemented,Access control policies exist but do not consistently enforce least privilege. Several users have broader ePHI access than required for their roles.,High,P1,Conduct an access rights review across all ePHI systems. Remove excessive access and implement role-based access control aligned to job functions.,Yes,IT / IAM,2026-08-01
SR-008,Partially Implemented,Supervisory procedures for workforce members with ePHI access exist informally but are not documented in policy.,Medium,P2,Document formal authorization and supervision procedures for all roles with ePHI access. Include in onboarding checklist.,Yes,HR / Compliance,2026-10-01
SR-009,Partially Implemented,Workforce clearance procedures are ad hoc. Background checks are conducted for some roles but not consistently applied across all positions with ePHI access.,Medium,P2,Standardize workforce clearance procedures. Define which roles require background checks and document the determination process.,Yes,HR,2026-10-01
SR-010,Implemented,Termination procedures include same-day access revocation for ePHI systems. HR and IT maintain a shared checklist.,Low,P3,Test termination procedure quarterly with a sample of recent terminations to confirm timely execution.,Yes,HR / IT,2026-12-01
SR-011,Partially Implemented,Information access management policies exist but access provisioning is inconsistent across systems. Some systems lack formal access request workflows.,High,P1,Implement a formal access request and approval workflow for all ePHI systems. Document access decisions and retain for audit.,Yes,IT / Compliance,2026-09-01
SR-012,Partially Implemented,Access authorization decisions are made informally without documented approval. No standardized process for access approval exists.,Medium,P2,Implement a documented access authorization process requiring manager and data owner approval for all ePHI access grants.,No,IT / IAM,2026-09-01
SR-013,Not Implemented,No formal process exists for establishing modifying or revoking user access rights in a documented and auditable manner.,High,P1,Implement access lifecycle management procedures covering provisioning modification and deprovisioning with documented approvals and audit trail.,No,IT / IAM,2026-08-15
