control_id,hipaa_rule,cfr_reference,safeguard_category,control_title,control_description,required_or_addressable
SR-001,Security Rule,§164.308(a)(1),Administrative,Security Management Process,Implement policies and procedures to prevent detect contain and correct security violations including a risk analysis and risk management program.,Required
SR-002,Security Rule,§164.308(a)(1)(ii)(A),Administrative,Risk Analysis,Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality integrity and availability of ePHI.,Required
SR-003,Security Rule,§164.308(a)(1)(ii)(B),Administrative,Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level.,Required
SR-004,Security Rule,§164.308(a)(1)(ii)(C),Administrative,Sanction Policy,Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures.,Required
SR-005,Security Rule,§164.308(a)(1)(ii)(D),Administrative,Information System Activity Review,Implement procedures to regularly review records of information system activity such as audit logs access reports and security incident tracking.,Required
SR-006,Security Rule,§164.308(a)(2),Administrative,Assigned Security Responsibility,Identify the security official who is responsible for the development and implementation of the policies and procedures.,Required
SR-007,Security Rule,§164.308(a)(3),Administrative,Workforce Security,Implement policies and procedures to ensure that all members of the workforce have appropriate access to ePHI and to prevent those who do not have access from obtaining access.,Required
SR-008,Security Rule,§164.308(a)(3)(ii)(A),Administrative,Authorization and Supervision,Implement procedures for the authorization and supervision of workforce members who work with ePHI.,Addressable
SR-009,Security Rule,§164.308(a)(3)(ii)(B),Administrative,Workforce Clearance Procedure,Implement procedures to determine that the access of a workforce member to ePHI is appropriate.,Addressable
SR-010,Security Rule,§164.308(a)(3)(ii)(C),Administrative,Termination Procedures,Implement procedures for terminating access to ePHI when the employment of a workforce member ends.,Addressable
SR-011,Security Rule,§164.308(a)(4),Administrative,Information Access Management,Implement policies and procedures for authorizing access to ePHI that are consistent with applicable requirements.,Required
SR-012,Security Rule,§164.308(a)(4)(ii)(B),Administrative,Access Authorization,Implement policies and procedures for granting access to ePHI including a process for making access decisions.,Addressable
SR-013,Security Rule,§164.308(a)(4)(ii)(C),Administrative,Access Establishment and Modification,Implement policies and procedures to establish document review and modify a user's right of access to a workstation transaction or program.,Addressable
SR-014,Security Rule,§164.308(a)(5),Administrative,Security Awareness and Training,Implement a security awareness and training program for all members of the workforce including management.,Required
SR-015,Security Rule,§164.308(a)(5)(ii)(A),Administrative,Security Reminders,Periodic security updates to workforce members.,Addressable
SR-016,Security Rule,§164.308(a)(5)(ii)(B),Administrative,Protection from Malicious Software,Procedures for guarding against malicious software.,Addressable
SR-017,Security Rule,§164.308(a)(5)(ii)(C),Administrative,Log-in Monitoring,Procedures for monitoring log-in attempts and reporting discrepancies.,Addressable
SR-018,Security Rule,§164.308(a)(5)(ii)(D),Administrative,Password Management,Procedures for creating changing and safeguarding passwords.,Addressable
SR-019,Security Rule,§164.308(a)(6),Administrative,Security Incident Procedures,Implement policies and procedures to address security incidents including a process to identify and respond to suspected or known security incidents.,Required
SR-020,Security Rule,§164.308(a)(7),Administrative,Contingency Plan,Establish and implement policies and procedures for responding to an emergency that damages systems containing ePHI.,Required
SR-021,Security Rule,§164.308(a)(7)(ii)(A),Administrative,Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of ePHI.,Required
SR-022,Security Rule,§164.308(a)(7)(ii)(B),Administrative,Disaster Recovery Plan,Establish and implement procedures to restore any loss of data.,Required
SR-023,Security Rule,§164.308(a)(7)(ii)(C),Administrative,Emergency Mode Operation Plan,Establish and implement procedures to enable continuation of critical business processes for protection of ePHI while operating in emergency mode.,Required
SR-024,Security Rule,§164.308(a)(8),Administrative,Evaluation,Perform a periodic technical and nontechnical evaluation of the extent to which security policies and procedures meet the requirements of the Security Rule.,Required
SR-025,Security Rule,§164.308(b)(1),Administrative,Business Associate Contracts,Obtain satisfactory assurances from business associates that they will appropriately safeguard ePHI.,Required
