check_id,category,check_title,description,required_or_recommended,cis_reference,status,notes
SSO-001,SP Configuration,SP EntityID registered with IdP,The Service Provider's EntityID must be uniquely registered with the Identity Provider. Prevents unauthorized SPs from accepting assertions.,Required,CIS CSC 4,Pass,EntityID verified in IdP metadata
SSO-002,SP Configuration,ACS URL validation enforced,The SP must validate that incoming SAMLResponses are posted to the registered ACS URL only. Mismatches must be rejected.,Required,,Pass,ACS URL hardcoded in SP metadata
SSO-003,SP Configuration,InResponseTo validation,SP must validate the InResponseTo attribute in the SAMLResponse matches the ID of the original AuthnRequest. Prevents replay attacks.,Required,,Pass,Implemented in SAML library
SSO-004,SP Configuration,AudienceRestriction validation,SP must verify the Audience element in the Assertion matches the SP's EntityID. Prevents cross-SP assertion theft.,Required,,Pass,Validated by SAML middleware
SSO-005,SP Configuration,Assertion validity window enforced,SP must reject Assertions where the current time falls outside the NotBefore and NotOnOrAfter window.,Required,,Pass,5-minute window enforced
SSO-006,SP Configuration,Duplicate Assertion ID check,SP must maintain a cache of processed Assertion IDs within the validity window to prevent replay of captured Assertions.,Required,,Partial,Cache implemented but expiry window needs tuning
SSO-007,SP Configuration,IdP signature validation,SP must validate the digital signature on all SAMLResponses and Assertions against the IdP's registered public certificate.,Required,,Pass,Signature validation enforced; weak algorithm rejection enabled
SSO-008,SP Configuration,XML signature wrapping protection,SP must use a SAML library that protects against XML Signature Wrapping (XSW) attacks where attackers inject unsigned elements.,Required,,Pass,Using updated SAML library with XSW protection
SSO-009,SP Configuration,RelayState validation,SP must validate the RelayState parameter to prevent open redirect attacks. Only allow redirects to known internal URLs.,Required,,Fail,Open redirect validation not implemented — remediate immediately
SSO-010,SP Configuration,Signed AuthnRequests,SP should sign AuthnRequests with its private key so the IdP can verify the request origin.,Recommended,,Pass,AuthnRequests signed with RSA-SHA256
SSO-011,IdP Configuration,MFA enforced for all SSO sessions,The IdP must require MFA for all users authenticating via SAML SSO. Step-up authentication should be enforced for sensitive applications.,Required,,Pass,MFA enforced via Okta policy
SSO-012,IdP Configuration,Phishing-resistant MFA for privileged users,FIDO2/WebAuthn or hardware tokens should be required for privileged accounts and high-assurance applications.,Recommended,,Partial,FIDO2 enrolled for admins; standard users use TOTP
SSO-013,IdP Configuration,SSO session timeout configured,The IdP session should have a defined timeout. Long-lived IdP sessions allow lateral movement if a device is compromised.,Required,,Pass,IdP session timeout: 8 hours; re-auth required for sensitive apps
SSO-014,IdP Configuration,SP-initiated SSO only (disable IdP-initiated),IdP-initiated SSO bypasses the InResponseTo check and is inherently more vulnerable to CSRF and injection attacks. Disable unless required.,Recommended,,Fail,IdP-initiated SSO enabled for legacy applications — review necessity
SSO-015,IdP Configuration,Assertion encryption enabled (EncryptedAssertion),Assertions containing sensitive attributes (email, role, group membership) should be encrypted to prevent interception.,Recommended,,Partial,Encryption enabled for high-sensitivity apps; standard apps use signed-only
SSO-016,IdP Configuration,Short assertion validity window,The NotBefore/NotOnOrAfter window should be as short as practical — typically 3–5 minutes — to limit replay attack exposure.,Required,,Pass,5-minute validity window configured
SSO-017,IdP Configuration,Certificate rotation procedure defined,IdP signing certificates must have a defined rotation schedule and procedure. Expired certificates cause SSO outages.,Required,,Partial,Certificates monitored but rotation runbook not formally documented
SSO-018,IdP Configuration,Strong signing algorithm enforced,RSA-SHA256 or stronger must be used for all SAML signatures. RSA-SHA1 is deprecated and must be disabled.,Required,,Pass,RSA-SHA256 enforced; SHA-1 rejected
SSO-019,IdP Configuration,SAML metadata published and current,The IdP must publish up-to-date SAML metadata including current signing certificates and SSO endpoint URLs.,Required,,Pass,Metadata endpoint active and auto-refreshed
SSO-020,Network and Transport,TLS 1.2 or higher enforced on all SSO endpoints,All SAML SSO endpoints (SP ACS URL, IdP SSO URL) must be accessible only over TLS 1.2 or higher. HTTP must not be permitted.,Required,,Pass,TLS 1.3 enforced; TLS 1.0 and 1.1 disabled
SSO-021,Network and Transport,HSTS enabled on SP and IdP,HTTP Strict Transport Security (HSTS) must be enabled on all SSO-related domains to prevent protocol downgrade attacks.,Required,,Pass,HSTS with 1-year max-age and includeSubDomains
SSO-022,Audit and Monitoring,SSO authentication events logged,All authentication events including successes failures and MFA outcomes must be logged with user identity timestamp and source IP.,Required,,Pass,Events forwarded to SIEM
SSO-023,Audit and Monitoring,SSO logout events logged,Single Logout (SLO) events must be logged. Incomplete logout (IdP session not terminated) is a common misconfiguration.,Required,,Partial,SP-side logout logged; IdP SLO not fully implemented
SSO-024,Audit and Monitoring,Failed authentication alerting,Repeated authentication failures from a single user or IP must trigger an alert. Brute force and credential stuffing indicators.,Required,,Pass,Alert at 5 consecutive failures within 10 minutes
SSO-025,Audit and Monitoring,Privileged account SSO sessions monitored,SSO sessions for privileged accounts (admins, developers) should be monitored for unusual access patterns or session duration.,Recommended,,Partial,Privileged account session monitoring in place for IdP console; app-level monitoring gaps remain
SSO-026,Governance,SP registration and deregistration process,A formal process must exist for registering and deregistering SPs with the IdP. Orphaned SP registrations expand the attack surface.,Required,,Partial,Registration process exists; no formal deregistration review cadence
SSO-027,Governance,Annual SSO configuration review,The SSO configuration for all registered SPs must be reviewed annually to confirm settings remain appropriate.,Recommended,,Fail,No formal annual review process in place
SSO-028,Governance,BAA / DPA covers IdP as processor,If the IdP processes personal data (user identities, authentication logs), a DPA or BAA must be in place.,Required,,Pass,DPA executed with IdP vendor
